sku,title,link,price,image
170147POT,Aardappel Anders Tuinkruiden - Knoflook 390ml,http://www.jumbo.com/aardappel-anders-tuinkruiden---knoflook-390ml/170147POT/,1.82,https://static-images.jumbo.com/product_images/170147POT-1_360x360.png
1542378829399,Aardbeien Met Hertog Ijs En Slagroom,http://www.jumbo.com/aardbeien-met-hertog-ijs-en-slagroom/1542378829399/,9.77,https://static-images.jumbo.com/product_images/161120181644_1542378829399-1_360x360.png
186182POT,Aarts Bio Ananas 350g,http://www.jumbo.com/aarts-bio-ananas-350g/186182POT/,1.89,https://static-images.jumbo.com/product_images/186182POT-1_360x360.png
186183POT,Aarts Bio Kersen 350g,http://www.jumbo.com/aarts-bio-kersen-350g/186183POT/,1.89,https://static-images.jumbo.com/product_images/186183POT-1_360x360.png
186739POT,Aarts Bio Perziken 350g,http://www.jumbo.com/aarts-bio-perziken-350g/186739POT/,2.49,https://static-images.jumbo.com/product_images/186739POT-1_360x360.png
198082POT,Aarts Gestoofde Peertjes 700g,http://www.jumbo.com/aarts-gestoofde-peertjes-700g/198082POT/,2.74,https://static-images.jumbo.com/product_images/201220180203_198082POT-1_360x360.png
18746POT,Aarts Kersen 560g,http://www.jumbo.com/aarts-kersen-560g/18746POT/,1.72,https://static-images.jumbo.com/product_images/18746POT-1_360x360.png
18809POT,Aarts Light Fruitcocktail 350g,http://www.jumbo.com/aarts-light-fruitcocktail-350g/18809POT/,1.52,https://static-images.jumbo.com/product_images/18809POT-1_360x360.png
18794POT,Aarts Morellen 700g,http://www.jumbo.com/aarts-morellen-700g/18794POT/,2.3,https://static-images.jumbo.com/product_images/18794POT-1_360x360.png
18690POT,Aarts Perziken 560g,http://www.jumbo.com/aarts-perziken-560g/18690POT/,2.24,https://static-images.jumbo.com/product_images/18690POT-1_360x360.png
18691POT,Aarts Pruimen-Kwetsen 560g,http://www.jumbo.com/aarts-pruimen-kwetsen-560g/18691POT/,1.38,https://static-images.jumbo.com/product_images/18691POT-1_360x360.png
192014POT,Aarts Slierasperges Geschild 530g,http://www.jumbo.com/aarts-slierasperges-geschild-530g/192014POT/,3.07,https://static-images.jumbo.com/product_images/192014POT-1_360x360.png
130218POT,Aarts Tutti Frutti 340g,http://www.jumbo.com/aarts-tutti-frutti-340g/130218POT/,1.42,https://static-images.jumbo.com/product_images/130218POT-1_360x360.png
139048POT,ABC Noodles Kari Ayam Chicken Curry Flavour 60g,http://www.jumbo.com/abc-noodles-kari-ayam-chicken-curry-flavour-60g/139048POT/,0.95,https://static-images.jumbo.com/product_images/139048POT-1_360x360.png
139191POT,ABC Noodles Soto Ayam Chicken Soto Flavour 60g,http://www.jumbo.com/abc-noodles-soto-ayam-chicken-soto-flavour-60g/139191POT/,0.95,https://static-images.jumbo.com/product_images/139191POT-1_360x360.png
